pi,country,region,score.prc,score.temp,score
IS23108,United Republic of Tanzania,East Africa,0,0.090909091,0.090909091
IS23142,United Republic of Tanzania,East Africa,0,0,0
IS23166,United Republic of Tanzania,East Africa,0,0,0
IS23178,Zambia,East Africa,0,0,0
IS23184,Zambia,East Africa,0,0,0
IS23188,Zambia,East Africa,0,0,0
IS23216,Zambia,East Africa,0.166666667,0,0.166666667
IS23225,Zambia,East Africa,0,0,0
IS23240,Zambia,East Africa,0.166666667,0,0.166666667
IS23248,Zambia,East Africa,0,0,0
IS23262,Zambia,East Africa,0,0,0
IS23263,Zambia,East Africa,0,0,0
IS23275,Zambia,East Africa,0.166666667,0,0.166666667
IS23283,Zambia,East Africa,0,0,0
IS23298,Zambia,East Africa,0.166666667,0,0.166666667
IS23306,Zambia,East Africa,0,0,0
IS23308,Zambia,East Africa,0,0,0
IS23319,Zambia,East Africa,0,0,0
IS23322,Zambia,East Africa,0,0,0
IS23335,Zambia,East Africa,0,0,0
IS23341,Zambia,East Africa,0,0,0
IS23357,Zambia,East Africa,0,0,0
IS23358,Zambia,East Africa,0,0,0
IS23363,Zambia,East Africa,0,0,0
IS23366,Zambia,East Africa,0,0,0
IS23367,Zambia,East Africa,0,0,0
IS23370,Zambia,East Africa,0,0,0
IS23373,Zambia,East Africa,0,0,0
IS23375,Zambia,East Africa,0,0,0
IS23376,Zambia,East Africa,0,0,0
IS23514,Ethiopia,East Africa,0,0.545454545,0.545454545
IS23521,Ethiopia,East Africa,0,0.454545455,0.454545455
IS23574,Ethiopia,East Africa,0,0,0
IS23579,Ethiopia,East Africa,0,0.545454545,0.545454545
IS23586,Ethiopia,East Africa,0,0.363636364,0.363636364
IS23590,Ethiopia,East Africa,0,0.363636364,0.363636364
IS23601,Ethiopia,East Africa,0,0.181818182,0.181818182
IS23615,Ethiopia,East Africa,0,0,0
IS23644,Gambia,West Africa,0.166666667,0.363636364,0.53030303
IS23645,Gambia,West Africa,0.333333333,0,0.333333333
IS23651,Gambia,West Africa,0,0,0
IS23666,Gambia,West Africa,0.166666667,0,0.166666667
IS23669,Gambia,West Africa,0.166666667,0,0.166666667
IS2367,Nigeria,West Africa,0,0,0
IS23674,Gambia,West Africa,0,0,0
IS23675,Mozambique,East Africa,0.166666667,0,0.166666667
IS23679,Mozambique,East Africa,0.166666667,0,0.166666667
IS23684,Mozambique,East Africa,0.166666667,0.090909091,0.257575758
IS23685,Mozambique,East Africa,0.166666667,0,0.166666667
IS23687,Mozambique,East Africa,0.166666667,0,0.166666667
IS23693,Mozambique,East Africa,0.166666667,0.090909091,0.257575758
