"","pet_min","AridityIndex","max_heat_index","ann_heat_index","coldindex.mean","coldindex.min"
"IS27287.D0D0HACXX.5.250046095",23.1481303892275,-695.318409864165,2.60764116486037,1.92045894814061,-0.17991420240155,-0.0684485280463875
"IS27490.70MUKAAXX.1.250006429",19.9431382537978,-800.557435589799,2.80022032145614,1.88325534765329,-0.150511046306533,-0.0212067306190832
"IS27587.B064FABXX.1.250009955",11.1668338700746,-438.666500783334,0.793876204857404,0.789870264728986,-0.0838602883461019,-0.052386888172954
"IS27599.B064FABXX.1.250009967",-1.1294967657826,-1660.53229518141,1.44693906982865,0.0660399292794963,0.127114996595257,0.208902063993198
"IS27855.B064FABXX.1.250009999",-25.5488682136594,-190.632217212831,-3.02661074583108,-2.13188856379047,0.31864631835869,0.34444911485375
"IS28332.B064FABXX.1.250010011",-30.1139778470218,-1877.15355107902,-2.415269656662,-2.69938532134438,0.50146232438731,0.502587173927607
"IS28688.D0D0HACXX.5.250046097",-14.6831742541206,-1542.75109265048,-1.59032393342556,-1.56516342011321,0.264138886545685,0.277864805402494
"IS28740.B064FABXX.1.250009975",-12.4799388249389,-1949.84377165848,-1.3397078270213,-1.50011717432197,0.266064586601963,0.269420374593892
"IS28991.B064FABXX.1.250009956",6.98432969466009,-2707.7391356959,1.49056087355498,0.23904532393721,0.0675569039633278,0.131513748382565
"IS29310.70MUKAAXX.1.250006453",-56.1567486747754,805.7099828633,-6.58443129512474,-4.75073676245131,0.670898858022551,0.734431420999949
"IS29407.70MUKAAXX.1.250006382",-59.478912330487,-609.289176610641,-5.36267339930023,-5.09529361715152,0.787061657405455,0.854569656113567
"IS29409.70MUKAAXX.1.250006390",-57.231134859874,-279.338439428242,-5.317176209085,-4.83476556340509,0.743733867021242,0.814116255285507
